taxon,nsites,ngenes,species,genus,family,order
Microhierax_erythrogenys,8974,9,Microhierax_erythrogenys,Microhierax,Falconidae,Falconiformes
Falco_mexicanus,33511,29,Falco_mexicanus,Falco,Falconidae,Falconiformes
Nestor_notabilis,35788,35,Nestor_notabilis,Nestor,Psittacidae,Psittaciformes
Calyptorhynchus_banksii,4958,7,Calyptorhynchus_banksii,Calyptorhynchus,Cacatuidae,Psittaciformes
Psittacus_erithacus,33284,31,Psittacus_erithacus,Psittacus,Psittacidae,Psittaciformes
Myiopsitta_monachus,13149,13,Myiopsitta_monachus,Myiopsitta,Psittacidae,Psittaciformes
Alisterus_scapularis,28256,26,Alisterus_scapularis,Alisterus,Psittacidae,Psittaciformes
Acanthisitta_chloris,28899,30,Acanthisitta_chloris,Acanthisitta,Acanthisittidae,Passeriformes
Pitta_sordida,10149,10,Pitta_sordida,Pitta,Pittidae,Passeriformes
Smithornis_rufolateralis,31347,31,Smithornis_rufolateralis,Smithornis,Eurylaimidae,Passeriformes
Psarisomus_dalhousiae,11653,12,Psarisomus_dalhousiae,Psarisomus,Eurylaimidae,Passeriformes
Philepitta_castanea,11882,12,Philepitta_castanea,Philepitta,Philepittidae,Passeriformes
Sapayoa_aenigma,27893,27,Sapayoa_aenigma,Sapayoa,Tyrannidae,Passeriformes
Cotinga_cayana,7604,6,Cotinga_cayana,Cotinga,Cotingidae,Passeriformes
